Index of Names

Adamson, Peter
Anderson, Charity
Armour-Garb, Bradley
Basu, Rima
Bennett, Karen
Bird, Alexander
Blome-Tillmann, Michael
Boyd, Kenneth
Brittain, Charles
Brown, Jessica
Buchak, Lara
Buridan, Jean
Cherniak, Christopher
Cho, In-Koo
Christensen, David
Clark, Christopher
Cohen, Stewart
Conlisk, John
Das, Nilanjan
DeRose, Keith
Descartes, René
Dogramaci, Sinan
Doris, John M.
Dylan, Bob
Eaton, Daniel
Egan, Andy
Elster, Jon
Euclid
Falbo, Arianna
Fantl, Jeremy
Foley, Richard
Friedman, Jane
Ganson, Dorit
Gendler, Tamar Szabó
Gettier, Edmund L.
Gigerenzer, Gerd
Gillies, Anthony
Goldman, Alvin
Harman, Gilbert
Harper, William
Hawthorne, John
Hedden, Brian
Hieronymi, Pamela
Hills, Alison
Hotelling, Harold
Humberstone, Lloyd
Hunter, Daniel
Ichikawa, Jonathan
Jackson, Frank
Joyce, James M.
Keynes, John Maynard
Kim, Brian
Kimball, Miles
Knight, Frank
Kohlberg, Elon
Kratzer, Angelika
Kreps, David
Kripke, Saul
Kroedel, Thomas
Lancaster, Kelvin
Lasonen-Aarnio, Maria
Lederman, Harvey
Lee, Matthew
Lewis, David
Lipsey, R. G.
Littlejohn, Clayton
MacFarlane, John
Maher, Patrick
Maitra, Ishani
McGrath, Matthew
Melchior, Guido
Mercier, Hugo
Mertens, Jean-Francois
Nagel, Jennifer
Nair, Shyam
Neta, Ram
North, Jill 
Nozick, Robert
Pasnau, Robert
Philo of Larissa
Pickavance, Timothy
Pryor, James
Quiggin, John
Railton, Peter
Ramsey, Frank
Roberts, Craige
Ross, Jacob
Rousseau, Jean-Jacques
Russell, Gillian
Savage, Leonard
Schroeder, Mark
Schwartz, Barry
Selten, Reinhard
Skyrms, Brian
Sosa, Ernest
Sperber, Dan
Staffel, Julia
Stalnaker, Robert
Stanley, Jason
Strevens, Michael
Tucker, Chris
Unger, Peter
Vātsyāyana
Weisberg, Jonathan
White, Roger
Wilkins, John
Williams, Peter
Williamson, Timothy
Wittgenstein, Ludwig
Woodard, Elise
Wright, Crispin
Yalcin, Seth
Zweber, Adam
